Cluster,Num_Orders,Route_Order_Sequence,Route_Distance_km
0,31,"['WH1', 'ORD0010', 'ORD0040', 'ORD0087', 'ORD0152', 'ORD0041', 'ORD0048', 'ORD0026', 'ORD0143', 'ORD0011', 'ORD0064', 'ORD0024', 'ORD0126', 'ORD0112', 'ORD0155', 'ORD0157', 'ORD0027', 'ORD0108', 'ORD0073', 'ORD0005', 'ORD0116', 'ORD0081', 'ORD0131', 'ORD0151', 'ORD0086', 'ORD0031', 'ORD0001', 'ORD0077', 'ORD0046', 'ORD0105', 'ORD0036', 'ORD0085', 'WH1']",112.194
1,23,"['WH1', 'ORD0054', 'ORD0075', 'ORD0141', 'ORD0148', 'ORD0144', 'ORD0032', 'ORD0101', 'ORD0057', 'ORD0067', 'ORD0099', 'ORD0056', 'ORD0039', 'ORD0069', 'ORD0003', 'ORD0051', 'ORD0053', 'ORD0037', 'ORD0123', 'ORD0154', 'ORD0030', 'ORD0104', 'ORD0049', 'ORD0095', 'WH1']",108.398
2,31,"['WH1', 'ORD0107', 'ORD0038', 'ORD0083', 'ORD0149', 'ORD0002', 'ORD0079', 'ORD0133', 'ORD0063', 'ORD0145', 'ORD0043', 'ORD0074', 'ORD0071', 'ORD0080', 'ORD0109', 'ORD0138', 'ORD0113', 'ORD0034', 'ORD0006', 'ORD0018', 'ORD0047', 'ORD0021', 'ORD0093', 'ORD0017', 'ORD0022', 'ORD0134', 'ORD0045', 'ORD0013', 'ORD0132', 'ORD0050', 'ORD0119', 'ORD0004', 'WH1']",125.191
3,25,"['WH1', 'ORD0052', 'ORD0082', 'ORD0066', 'ORD0078', 'ORD0070', 'ORD0089', 'ORD0068', 'ORD0096', 'ORD0130', 'ORD0014', 'ORD0125', 'ORD0009', 'ORD0127', 'ORD0140', 'ORD0147', 'ORD0156', 'ORD0102', 'ORD0084', 'ORD0098', 'ORD0062', 'ORD0092', 'ORD0029', 'ORD0042', 'ORD0111', 'ORD0058', 'WH1']",129.148
4,28,"['WH1', 'ORD0035', 'ORD0012', 'ORD0015', 'ORD0025', 'ORD0135', 'ORD0055', 'ORD0160', 'ORD0023', 'ORD0059', 'ORD0065', 'ORD0115', 'ORD0120', 'ORD0128', 'ORD0139', 'ORD0100', 'ORD0060', 'ORD0044', 'ORD0088', 'ORD0028', 'ORD0153', 'ORD0090', 'ORD0097', 'ORD0103', 'ORD0117', 'ORD0146', 'ORD0072', 'ORD0118', 'ORD0114', 'WH1']",105.895
5,22,"['WH1', 'ORD0008', 'ORD0061', 'ORD0159', 'ORD0076', 'ORD0020', 'ORD0094', 'ORD0158', 'ORD0136', 'ORD0150', 'ORD0091', 'ORD0142', 'ORD0106', 'ORD0122', 'ORD0019', 'ORD0016', 'ORD0110', 'ORD0121', 'ORD0124', 'ORD0129', 'ORD0033', 'ORD0137', 'ORD0007', 'WH1']",104.474
